Date,Open,High,Low,Close,Adj Close,Volume
2022-01-02,41921.167969,42097.429688,41196.710938,41629.800781,41629.800781,24577311974
2022-01-03,41628.324219,41849.964844,40575.277344,41105.722656,41105.722656,29261479130
2022-01-04,41106.375000,41956.500000,40554.570313,40677.875000,40677.875000,37661970660
2022-01-05,40679.453125,41486.542969,37839.750000,38520.269531,38520.269531,32580817996
2022-01-06,38517.183594,38691.019531,37721.003906,38203.507813,38203.507813,26738382071
2022-01-07,38196.996094,38196.996094,36222.503906,36575.898438,36575.898438,74103034014
2022-01-08,36579.035156,37170.082031,35799.898438,36734.382813,36734.382813,24704118680
2022-01-09,36735.074219,37580.796875,36386.011719,36914.773438,36914.773438,18755603984
2022-01-10,36913.566406,37231.550781,35228.761719,36912.199219,36912.199219,28335773331
2022-01-11,36910.648438,37828.117188,36550.128906,37599.601563,37599.601563,23163434090
2022-01-12,37605.167969,38559.484375,37401.820313,38415.820313,38415.820313,29282229408
2022-01-13,38413.757813,38574.167969,37053.214844,37175.289063,37175.289063,41626348816
2022-01-14,37181.660156,37969.273438,36655.234375,37756.070313,37756.070313,20654206193
2022-01-15,37757.996094,38303.558594,37378.800781,37824.132813,37824.132813,16093613422
2022-01-16,37819.441406,38051.382813,37398.062500,37800.527344,37800.527344,15695843306
2022-01-17,37804.242188,37857.531250,36531.257813,37028.761719,37028.761719,19010103713
2022-01-18,37028.343750,37549.371094,36422.046875,37403.785156,37403.785156,19787042903
2022-01-19,37402.378906,37446.664063,36389.531250,36800.882813,36800.882813,20356996522
2022-01-20,36800.617188,38251.648438,35950.992188,35957.707031,35957.707031,18015822473
2022-01-21,35974.667969,36321.812500,31548.890625,32135.849609,32135.849609,37913565556
2022-01-22,32148.429688,32339.902344,30277.660156,30877.941406,30877.941406,35006840731
2022-01-23,30893.021484,32121.720703,30654.947266,31986.818359,31986.818359,22941168169
2022-01-24,31985.873047,32899.058594,29323.492188,32369.328125,32369.328125,36963489637
2022-01-25,32369.750000,33179.371094,31627.011719,32693.353516,32693.353516,23381125046
2022-01-26,32690.267578,34411.113281,32362.683594,32783.683594,32783.683594,27866393735
2022-01-27,32774.574219,33333.339844,31971.115234,33324.285156,33324.285156,22469772280
2022-01-28,33315.500000,34046.199219,32534.775391,33889.109375,33889.109375,19946207246
2022-01-29,33885.863281,34599.398438,33550.203125,34206.476563,34206.476563,15421617548
2022-01-30,34218.800781,34334.972656,33595.703125,33999.804688,33999.804688,13130518444
2022-01-31,34002.207031,34406.035156,32919.343750,34270.417969,34270.417969,18464920256
2022-02-01,34269.203125,34795.570313,33847.980469,34367.761719,34367.761719,17997198255
2022-02-02,34368.152344,34456.867188,32579.468750,32702.763672,32702.763672,16952016995
